{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:01:59.016194', 'post_id': 19, 'post_name': 'New', 'action': 'viewed post'}
{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:02:48.535350', 'post_id': 19, 'post_name': 'New', 'action': 'created comment'}
{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:02:48.636293', 'post_id': 19, 'post_name': 'New', 'action': 'viewed post'}
{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:02:57.738570', 'post_id': 19, 'post_name': 'New', 'action': 'updated comment'}
{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:02:57.826037', 'post_id': 19, 'post_name': 'New', 'action': 'viewed post'}
{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:03:04.681645', 'post_id': 19, 'post_name': 'New', 'action': 'deleted comment'}
{'user_ip': '127.0.0.1', 'path': '/posts/19/', 'time_stamp': '2019-04-13 15:03:04.758046', 'post_id': 19, 'post_name': 'New', 'action': 'viewed post'}
{'user_ip': '127.0.0.1', 'path': '/posts/20/', 'time_stamp': '2019-04-13 15:04:14.990180', 'post_id': 20, 'post_name': 'New Post', 'action': 'viewed post'}
{'user_ip': '127.0.0.1', 'path': '/posts/21/', 'time_stamp': '2019-04-13 15:06:17.185552', 'post_id': 21, 'post_name': 'New Post 2', 'action': 'viewed post'}
{'user_ip': '127.0.0.1', 'path': '/posts/new/', 'time_stamp': '2019-04-13 15:07:51.996414', 'action': 'created post'}
{'user_ip': '127.0.0.1', 'path': '/posts/22/', 'time_stamp': '2019-04-13 15:07:52.038272', 'post_id': 22, 'post_name': 'New Post 3', 'action': 'viewed post'}
